Time (mins),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),CA1 (OPR),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),Interlayer (LM),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH),DG (GH)
-14.983,53.009,50.585,55.051,60.012,42.686,35.309,39.677,41.732,15.104,99.856,4.170,31.769,29.232,29.093,66.605,67.531,45.424,39.715,42.727,46.176,49.130,46.364,47.441,45.840,43.929,46.304,48.711,48.907,63.374,66.165,77.027,100.000,97.136,84.881,93.041,56.328,63.557,53.571,51.599,49.764,55.599,54.835,40.097,39.782,39.710,41.269,31.399,36.251,49.990,34.084,33.032,33.638,39.660,9.414,40.110,27.634,55.513,39.348,,48.450,49.838,49.990,53.642,53.232,56.920,,,,,,,,,,99.820,,,77.979,53.865,46.736,44.249,57.206,40.343,50.753,41.704,40.400,39.503,40.429,41.980,40.167,46.472,42.093,35.569,13.745,4.377,5.430,15.364,26.107,59.595,59.404,58.599,54.863,59.926,54.859,53.030,54.262,53.723,76.656,53.329,47.977,43.349,86.170,86.942,45.680,47.628,29.313
-14.967,54.805,50.616,55.777,60.131,41.145,34.192,42.832,44.969,15.046,98.344,8.297,37.430,32.599,34.117,67.323,72.110,47.987,40.355,44.939,46.056,48.746,46.599,48.319,45.747,44.975,47.213,49.517,49.202,62.172,65.655,75.914,98.978,94.872,84.064,90.420,56.595,63.585,52.437,50.543,49.346,53.656,53.052,44.322,44.603,43.619,45.408,37.670,40.476,53.689,41.498,40.473,30.724,38.136,9.006,39.352,26.361,52.783,37.856,,50.176,50.660,50.896,55.575,54.532,58.456,,,,,,,,,,99.385,,,78.188,52.386,47.275,45.029,56.983,45.501,54.757,46.791,44.662,44.261,46.272,46.915,46.058,50.763,46.982,41.064,10.687,2.783,3.407,12.526,22.324,59.969,59.645,59.280,56.834,59.847,55.581,53.436,55.356,55.362,76.623,53.224,48.228,43.333,86.331,86.461,45.399,47.097,29.169
-14.950,53.178,49.892,55.241,59.335,44.535,37.665,41.977,42.759,15.507,,2.750,34.309,26.823,28.995,67.341,68.785,44.176,37.465,40.883,42.848,45.967,48.944,49.759,47.886,48.009,50.720,52.072,52.234,62.178,65.898,75.370,97.473,93.946,83.368,92.025,56.330,63.371,53.663,50.457,49.127,53.102,52.771,42.266,43.280,42.875,43.986,32.442,35.562,52.369,35.676,32.799,28.852,36.887,7.235,37.157,24.135,50.748,35.812,,53.209,53.393,54.039,59.443,58.120,62.075,,,,,,,,,,97.333,,,77.733,52.516,48.708,47.058,56.477,44.134,53.076,44.871,43.798,42.531,45.751,44.453,44.557,50.344,47.055,34.716,8.874,1.939,2.616,10.931,19.299,62.516,62.530,61.371,58.740,60.528,56.556,54.946,56.137,56.438,76.206,52.748,48.168,43.042,85.107,85.561,45.174,47.235,29.205
-14.933,58.422,51.315,55.985,60.170,47.258,39.664,44.051,45.054,21.796,,0.000,29.607,22.894,25.025,67.317,69.227,42.995,35.975,40.896,41.418,45.187,48.715,51.057,49.073,48.642,51.295,53.208,52.402,61.766,65.492,75.210,98.339,94.392,83.735,90.631,58.496,64.369,53.801,52.181,49.696,55.378,54.735,43.542,43.788,44.448,46.032,28.420,31.532,46.103,30.075,28.030,27.139,37.085,6.113,35.817,21.542,47.582,33.602,,53.016,53.567,54.133,58.128,57.885,60.935,,,,,,,,,,98.950,,,77.290,55.734,45.998,43.926,58.319,45.987,54.465,47.365,45.137,45.415,46.414,46.852,47.880,51.949,48.463,29.211,6.391,0.874,1.286,9.452,16.579,62.814,61.692,62.209,57.541,62.736,55.511,54.968,55.512,56.624,76.249,52.832,47.798,43.036,88.116,85.847,45.225,47.271,29.087
-14.917,55.641,50.834,54.762,59.528,42.538,34.853,41.304,42.700,24.614,98.000,8.329,33.159,26.189,26.435,66.933,68.153,43.634,36.720,40.721,42.930,45.979,48.281,49.854,47.550,46.946,49.571,51.225,50.429,62.244,65.581,76.225,99.606,94.771,83.984,91.464,55.865,63.332,52.024,49.449,49.084,53.372,51.860,41.215,41.122,40.843,42.816,30.040,33.796,47.740,33.408,32.424,29.381,37.816,7.260,37.279,23.675,51.014,35.589,,51.561,52.116,51.601,56.056,55.634,59.713,,,,,,,,,,100.000,,,78.176,53.703,47.915,47.283,56.779,42.751,51.826,43.422,41.009,40.772,42.143,43.290,41.090,47.034,44.112,32.879,9.415,2.131,2.639,11.793,19.855,59.806,60.109,58.952,55.903,58.349,54.866,53.963,54.840,56.148,76.183,53.140,48.148,43.207,86.576,87.154,45.402,47.365,28.927
-14.900,53.804,50.180,54.481,59.362,36.958,29.186,41.410,42.702,34.120,93.451,13.846,35.085,33.741,31.804,66.717,65.576,39.386,33.593,37.401,38.916,41.930,48.065,49.583,47.314,46.581,49.797,50.617,50.166,62.080,65.574,75.324,97.031,94.774,83.111,91.152,55.355,62.697,52.018,48.333,48.816,50.393,50.958,41.519,41.662,41.514,41.953,34.022,35.770,45.329,38.592,40.498,26.771,35.891,5.033,34.316,19.745,48.095,32.252,,51.794,51.782,52.555,56.206,55.421,59.598,,,,,,,,,,,,,77.776,51.479,50.533,48.282,55.595,43.566,52.304,43.047,41.671,40.033,41.495,42.196,40.866,46.695,41.902,41.572,5.923,0.656,0.575,9.643,13.541,61.566,60.177,60.623,56.222,61.715,54.601,53.416,54.322,54.501,76.277,53.146,47.688,43.084,86.131,86.179,45.279,47.331,28.749
-14.883,54.530,50.424,54.644,59.763,45.702,35.944,37.399,37.848,23.736,84.123,20.744,45.726,43.386,44.464,66.535,66.434,39.132,33.567,38.925,40.091,43.089,48.082,50.144,47.165,46.876,49.641,51.435,50.904,61.921,64.906,75.117,96.795,93.772,84.408,90.432,56.028,63.082,52.478,49.528,49.325,51.547,52.109,36.121,37.099,36.011,37.936,48.375,48.853,56.915,51.561,52.144,27.987,36.048,5.418,34.956,21.632,49.440,33.193,,52.010,52.196,52.992,56.567,56.341,58.925,,,,,,,,,,98.969,,,77.125,52.859,49.357,47.658,56.202,36.922,48.030,38.452,36.273,36.984,36.560,37.969,37.106,42.312,37.429,53.919,8.618,1.654,1.997,11.598,18.880,60.821,62.568,61.018,57.430,60.340,56.596,54.129,55.233,54.429,75.829,53.020,47.628,43.059,84.827,83.978,45.071,46.954,28.833
-14.867,53.518,51.566,54.910,60.045,44.827,36.519,38.059,37.707,19.043,79.948,23.217,50.394,45.303,46.436,66.379,65.436,39.185,33.237,36.442,39.273,42.642,48.495,50.016,48.199,47.043,49.440,51.008,50.593,61.809,65.314,74.988,97.438,94.004,83.069,90.372,56.429,63.702,54.207,50.596,49.109,54.445,53.433,37.261,37.124,36.979,38.770,50.368,56.296,63.786,54.457,54.739,26.893,35.840,5.062,33.925,20.377,47.300,32.475,,51.677,52.271,52.287,56.128,56.394,59.328,,,,,,,,,,99.243,,,77.023,53.039,47.993,45.275,56.954,37.456,48.758,40.054,37.187,38.235,38.814,39.417,38.972,45.974,40.266,55.169,6.809,1.414,1.801,10.525,17.202,60.778,61.180,60.602,56.586,61.548,55.250,52.957,55.878,56.245,75.820,52.890,47.753,42.720,85.657,83.623,44.718,47.192,28.855
-14.850,51.919,50.226,53.783,59.545,45.394,37.320,40.220,40.527,13.836,91.475,8.643,42.716,33.911,33.743,66.368,65.281,41.429,36.261,39.060,43.170,45.112,46.662,47.715,47.475,44.894,46.496,48.692,48.957,61.258,64.805,74.995,97.335,93.296,83.338,90.252,56.500,63.401,53.402,49.496,48.418,53.132,52.120,38.691,39.834,39.435,40.201,38.804,45.802,62.310,39.807,37.167,30.143,38.277,7.208,37.039,23.640,51.881,35.571,,49.736,50.476,50.569,54.002,53.813,57.270,,,,,,,,,,99.315,,,76.946,51.679,49.069,47.366,56.017,40.478,50.693,41.180,40.071,40.290,40.175,39.689,40.446,46.956,41.319,38.850,10.704,2.465,3.492,13.356,20.525,59.860,57.610,58.985,55.959,58.596,55.004,52.739,54.955,54.727,75.691,52.439,47.900,43.326,88.474,85.003,44.961,47.068,28.772
-14.833,49.564,50.211,54.446,59.168,41.078,32.149,36.775,36.830,14.561,87.660,11.197,41.474,34.161,33.671,66.806,64.669,40.302,33.749,36.122,39.599,43.490,47.108,48.600,47.699,45.637,47.957,50.422,49.351,61.868,65.414,75.488,97.943,94.364,84.005,92.302,55.166,62.985,52.596,50.884,50.305,49.108,51.160,35.676,34.417,34.730,36.467,37.173,44.077,60.731,41.832,40.292,26.313,36.742,5.254,33.644,19.936,46.585,32.464,,51.804,51.764,51.488,56.043,55.015,57.662,,,,,,,,,,99.840,,,78.493,52.989,49.440,49.124,55.768,36.790,46.137,36.429,35.355,34.886,34.957,34.812,35.833,41.623,35.989,40.284,6.283,1.150,1.367,9.593,14.424,60.303,62.010,59.270,56.876,60.883,56.572,53.420,55.907,55.887,76.097,52.659,47.812,43.219,86.768,86.290,45.248,47.196,29.050
-14.817,55.997,51.639,55.607,60.195,42.225,33.556,37.286,37.287,19.251,91.491,9.630,39.970,34.201,33.325,66.803,64.912,42.011,36.059,38.330,43.023,46.002,45.674,45.647,44.093,41.825,44.324,46.740,46.428,62.433,65.057,75.184,95.644,94.367,82.769,90.494,56.710,63.555,54.588,51.206,49.924,55.800,54.829,36.461,36.500,35.735,37.331,36.851,41.487,54.827,40.569,39.613,31.440,38.940,7.821,36.926,24.016,51.524,35.250,,47.823,47.961,47.347,51.311,51.412,56.029,,,,,,,,,,99.516,,,78.101,54.215,45.116,44.790,57.947,37.826,47.659,37.746,36.447,36.618,36.899,38.149,35.996,43.013,37.975,40.386,10.308,3.391,4.031,14.087,19.258,56.777,57.160,57.916,54.335,58.881,53.464,51.883,53.601,53.680,76.106,53.108,48.025,43.212,88.045,86.205,45.215,47.236,29.004
-14.800,61.889,51.905,55.667,60.705,45.304,37.490,40.856,41.518,18.619,89.461,12.349,39.540,37.863,35.433,66.411,60.935,39.111,34.248,35.699,42.243,44.235,44.594,45.537,42.759,41.026,43.817,46.248,46.808,61.445,64.503,74.292,96.097,93.067,81.933,89.848,57.713,63.656,54.097,51.286,50.132,54.493,54.732,40.447,40.582,40.460,41.135,38.527,42.426,51.578,42.216,45.461,31.218,38.213,7.177,35.621,22.621,52.075,35.048,,47.252,47.389,48.047,52.083,51.174,55.154,,,,,,,,,,98.163,,,77.208,55.157,44.321,44.100,58.807,42.080,51.182,43.000,40.270,40.349,42.294,43.959,41.956,48.442,44.930,45.737,11.411,3.438,3.532,14.946,18.098,57.633,58.277,56.232,53.851,58.392,54.766,52.321,54.090,54.093,75.227,52.580,47.695,42.906,85.679,85.338,45.012,47.601,28.848
-14.783,55.746,49.920,55.315,59.679,43.298,34.846,38.357,38.699,16.114,86.111,13.630,38.886,39.335,38.867,66.226,66.228,40.334,34.608,37.446,40.911,44.211,43.847,45.146,43.829,40.996,42.957,45.477,46.879,61.400,64.440,73.835,95.082,92.313,82.351,88.832,54.331,62.894,51.307,46.604,46.016,46.944,49.669,37.355,36.773,36.535,37.694,40.763,44.488,51.991,46.347,43.272,29.645,37.861,6.847,35.839,23.105,50.061,34.540,,47.408,47.461,48.350,52.056,51.554,55.918,,,,,,,,,,96.257,,,76.693,52.750,48.575,48.681,55.471,36.504,47.168,37.649,35.529,35.442,34.775,37.714,33.577,41.480,36.575,47.407,9.751,2.988,3.673,14.100,20.437,58.260,59.396,57.741,55.395,57.756,55.554,52.884,53.630,54.780,74.660,52.108,47.505,42.907,85.776,85.020,44.611,46.934,28.952
-14.767,52.955,49.542,54.682,59.325,40.709,33.857,39.108,41.150,22.040,83.387,17.385,40.500,39.661,39.162,67.187,63.697,43.798,38.239,39.050,45.752,49.079,44.733,45.016,43.346,40.847,43.684,46.317,46.334,61.502,64.206,73.650,94.435,91.656,82.304,88.656,52.893,62.800,51.295,48.812,45.878,47.982,49.967,40.224,40.053,39.557,40.808,42.324,46.335,52.906,46.581,46.204,34.391,40.656,9.808,39.630,26.576,56.196,39.120,,46.648,48.423,48.206,51.952,51.130,55.975,,,,,,,,,,96.836,,,75.996,50.252,49.633,48.579,54.681,41.750,50.479,41.332,39.971,39.854,40.483,42.349,40.423,46.293,42.218,47.572,14.790,4.888,5.586,17.176,23.908,57.030,56.188,56.080,54.670,57.489,53.771,51.853,53.688,54.587,75.206,52.325,47.293,42.958,85.040,83.462,44.728,47.085,28.853
-14.750,55.398,51.066,55.558,59.358,60.107,57.379,61.076,64.675,21.021,87.936,12.918,41.336,37.540,36.852,67.029,61.525,41.182,35.767,36.362,43.868,45.813,43.539,46.349,45.314,42.809,43.793,46.709,47.742,61.169,64.333,74.278,94.957,92.647,81.849,89.595,55.709,63.810,54.696,50.334,49.022,53.728,53.417,63.399,65.298,65.400,70.641,40.018,43.196,51.478,44.013,43.814,33.174,39.755,8.017,37.060,23.657,53.261,36.307,,48.265,48.906,48.228,52.510,52.526,55.913,,,,,,,,,,96.392,,,76.712,52.912,47.917,47.780,56.842,71.640,77.492,77.475,75.103,79.091,82.430,77.303,81.794,89.460,87.040,45.294,12.874,3.707,4.130,16.086,18.984,58.499,58.864,57.824,55.284,59.029,55.428,52.733,54.280,53.659,74.912,52.261,47.603,42.624,85.161,82.946,44.588,47.112,28.990
-14.733,56.613,51.018,55.612,59.902,44.176,35.381,36.077,35.171,20.403,87.933,12.372,34.186,34.725,31.661,67.843,70.190,48.765,40.344,41.900,45.573,50.504,44.326,46.663,45.875,43.278,44.965,47.323,48.678,61.616,64.590,73.830,96.138,90.912,82.271,89.503,57.059,63.722,54.487,50.442,49.011,54.077,52.994,34.389,33.161,33.758,35.047,34.984,38.328,45.742,39.235,40.845,33.580,40.982,11.025,40.002,27.304,52.741,39.937,,48.491,49.449,50.131,53.954,53.426,57.435,,,,,,,,,,97.350,,,77.543,54.110,47.436,43.713,57.624,33.542,45.784,35.269,32.868,33.168,31.968,33.991,32.200,39.346,33.493,41.345,12.679,5.320,6.303,16.628,24.064,59.215,59.980,59.017,55.827,59.701,55.170,54.119,54.488,54.997,75.602,52.116,47.488,43.001,85.600,84.179,44.553,46.846,28.667
-14.717,55.241,51.375,55.689,59.994,46.817,38.597,39.768,38.960,23.359,88.202,15.449,28.155,34.471,32.307,68.112,71.437,50.661,43.338,45.795,49.772,53.393,43.944,45.161,43.637,41.225,42.943,46.213,46.757,61.825,64.930,75.005,95.019,93.961,83.139,90.348,55.117,62.885,53.832,48.645,48.793,51.849,53.192,37.703,37.238,36.791,38.663,33.796,35.076,38.611,36.935,43.403,36.702,42.261,12.375,42.889,30.689,58.414,42.475,,47.045,47.892,48.216,51.839,51.799,55.225,,,,,,,,,,98.245,,,77.026,51.642,47.224,46.287,56.687,36.848,48.031,39.555,36.446,36.656,35.968,40.162,35.788,41.374,37.511,45.258,16.996,6.337,7.630,18.939,28.251,57.215,58.775,56.766,55.424,58.378,55.448,51.882,53.504,54.287,75.056,52.347,47.561,42.819,86.882,84.627,45.264,47.305,28.933
-14.700,56.071,51.475,54.992,59.557,43.546,35.255,40.551,39.381,25.955,77.796,24.937,32.998,42.835,40.613,67.207,66.196,43.775,36.535,38.553,42.608,45.499,43.006,45.271,43.197,40.571,42.219,45.326,45.655,61.687,64.592,74.506,95.778,93.115,83.433,90.092,55.641,63.596,53.352,49.771,49.260,52.407,52.382,40.251,39.821,39.116,41.701,41.411,42.532,41.486,48.596,51.836,29.895,37.369,7.361,36.743,23.446,51.094,35.231,,46.212,47.112,47.108,50.297,50.082,53.751,,,,,,,,,,96.735,,,76.776,52.708,47.496,45.318,56.700,40.283,50.218,40.920,39.220,39.557,39.219,41.646,39.304,44.412,41.013,54.828,9.568,2.821,2.738,13.027,18.060,55.930,57.597,56.885,54.349,56.268,52.283,51.656,53.371,54.350,74.995,52.235,48.039,42.853,86.042,84.537,44.770,47.026,28.932
-14.683,51.574,50.435,54.788,59.481,40.555,33.004,41.656,41.636,26.082,77.092,24.396,34.992,42.708,42.219,67.064,62.509,39.334,33.039,34.631,38.850,42.186,44.415,45.840,43.403,41.611,44.719,47.065,47.472,61.293,64.408,73.802,95.032,91.291,82.245,89.493,54.986,62.966,53.296,48.661,46.786,52.137,51.648,41.975,41.192,41.982,41.922,43.702,45.278,47.218,50.658,54.450,26.581,35.563,5.268,33.528,19.742,46.904,31.788,,48.001,48.054,48.961,52.430,52.245,55.485,,,,,,,,,,96.819,,,76.910,53.444,49.328,47.291,55.781,42.679,52.100,42.208,41.502,39.839,41.297,42.314,40.664,45.660,42.460,55.493,6.200,1.561,1.525,11.026,15.005,57.849,57.882,58.214,55.173,59.138,55.451,51.619,53.048,54.142,74.617,52.204,47.600,42.843,85.024,83.484,44.870,47.004,28.913
-14.667,54.442,50.999,54.893,59.656,41.022,34.184,40.424,40.826,19.105,86.850,15.550,26.754,32.777,33.613,66.651,64.811,42.598,35.724,37.552,41.452,46.097,43.631,45.617,43.404,42.116,44.254,46.849,47.439,61.316,63.895,73.297,95.375,90.957,81.390,88.785,55.155,63.136,52.217,49.756,47.270,52.723,52.417,40.025,38.978,38.877,40.138,35.525,35.393,39.448,39.770,41.949,28.909,37.359,7.250,36.196,23.168,49.414,35.166,,47.890,47.980,49.067,52.772,52.294,55.725,,,,,,,,,,95.829,,,76.999,53.440,47.955,47.411,56.334,39.965,49.804,41.117,38.886,38.310,38.893,38.736,38.654,44.120,39.478,45.282,9.016,2.931,3.226,12.767,19.287,58.621,58.290,57.271,55.069,57.699,55.077,52.082,54.331,53.926,74.854,52.214,47.424,42.691,86.592,83.911,44.757,46.728,28.541
-14.650,53.665,50.268,55.139,59.680,51.490,47.537,52.923,55.119,21.950,85.451,18.809,26.549,36.893,35.047,66.916,67.274,43.750,36.235,39.758,41.546,45.991,45.022,47.884,45.154,44.591,46.412,48.901,49.650,61.350,64.281,73.496,94.684,91.712,81.159,88.564,55.162,63.061,51.788,48.122,47.260,50.063,50.368,55.211,55.877,55.419,58.689,36.894,37.227,36.880,42.598,47.354,28.820,37.976,7.239,36.581,23.088,49.147,35.243,,50.188,51.270,51.706,55.157,54.855,58.210,,,,,,,,,,96.975,,,76.418,53.624,48.053,47.352,55.852,59.911,67.335,62.879,61.081,64.243,66.538,61.047,64.947,72.255,68.431,48.412,8.446,2.183,2.844,12.363,17.834,60.680,58.747,60.494,56.606,61.173,56.745,52.862,54.903,55.233,74.575,52.083,47.314,42.563,83.584,82.998,44.752,46.905,28.770
-14.633,53.873,50.277,54.786,59.062,52.603,48.082,53.020,55.008,19.555,86.372,18.267,25.233,36.083,34.521,66.875,68.933,43.573,36.408,40.167,41.702,45.451,47.445,49.608,45.771,46.885,49.931,51.891,51.914,61.002,63.963,73.843,95.505,90.704,80.737,88.374,53.578,62.617,50.967,45.430,45.484,44.350,46.835,54.507,55.933,55.200,59.718,37.834,35.190,36.672,41.638,46.475,27.772,37.444,6.328,36.234,21.976,48.445,33.686,,52.546,53.849,53.937,57.520,57.754,59.778,,,,,,,,,,95.956,,,75.927,49.357,52.345,52.882,53.771,59.541,67.090,64.658,61.399,63.655,67.122,63.917,66.089,73.491,70.952,48.229,7.420,1.777,1.877,11.787,16.645,62.602,61.375,62.647,57.755,60.190,57.578,54.324,55.614,54.915,74.530,51.863,47.216,43.002,85.689,82.060,44.589,47.069,28.804
-14.617,49.660,49.026,54.115,58.033,47.910,41.474,44.620,45.277,18.669,87.866,13.054,22.473,32.522,32.740,66.183,66.802,42.018,35.418,39.290,41.652,44.937,47.090,49.637,45.676,46.956,49.261,50.857,50.564,60.899,64.098,72.964,93.644,91.190,81.604,88.281,51.870,61.427,49.963,44.499,43.051,43.270,46.024,44.616,43.990,43.715,45.958,33.392,31.839,34.302,37.499,44.310,29.012,38.054,6.177,35.491,22.143,49.292,33.625,,50.980,52.539,52.601,55.961,54.535,57.552,,,,,,,,,,95.668,,,75.657,44.206,56.892,54.210,51.757,46.545,54.894,48.461,46.474,47.145,47.810,49.049,48.311,54.191,51.156,44.230,8.472,1.547,1.932,11.954,16.349,59.071,57.853,59.296,56.349,58.026,55.822,52.538,54.719,55.497,74.168,51.804,46.960,42.738,86.162,83.562,44.625,46.710,28.797
-14.600,43.705,48.665,52.888,58.845,47.047,40.439,43.405,42.795,17.449,90.180,15.401,20.643,30.447,32.763,66.163,65.809,41.741,33.942,36.623,39.329,43.015,46.425,51.508,46.655,48.640,51.119,53.837,53.279,61.063,63.766,72.824,93.549,89.705,81.513,88.162,51.400,61.395,50.300,45.614,44.624,44.475,47.789,42.562,42.076,41.812,44.211,33.483,31.479,32.498,37.319,43.881,26.513,37.100,5.173,33.636,19.189,45.095,31.113,,53.459,53.572,54.606,59.003,58.438,60.826,,,,,,,,,,94.963,,99.923,75.706,46.988,55.337,53.303,52.134,42.831,51.855,45.093,43.121,42.273,43.492,46.457,43.600,48.331,45.380,43.098,4.797,0.943,1.120,9.896,11.145,63.293,63.477,63.411,57.827,61.344,55.499,54.027,55.281,55.372,74.079,51.892,47.323,42.712,84.191,81.313,44.732,46.891,28.749
-14.583,49.924,48.966,53.281,59.699,52.668,47.498,49.785,50.800,22.633,82.707,22.421,24.945,38.322,37.906,65.805,70.898,39.759,35.018,40.106,41.137,44.091,44.285,49.283,48.693,48.188,48.575,51.449,51.396,60.832,63.752,72.950,94.363,90.658,80.394,87.919,53.501,62.358,52.303,48.280,48.169,50.287,50.513,50.108,50.405,50.045,53.472,39.373,36.035,35.511,45.233,51.202,30.470,38.636,6.353,36.471,22.272,50.608,33.479,,52.179,51.822,52.876,57.230,55.466,59.574,,,,,,,,,,94.729,,,75.813,51.340,51.458,48.397,54.506,53.699,59.980,55.786,53.718,54.289,56.105,57.201,54.543,62.086,59.686,52.210,10.084,3.029,3.396,14.235,18.730,59.767,60.404,60.341,54.693,56.450,53.937,50.465,53.831,53.706,74.257,52.184,47.172,42.426,84.726,83.552,44.641,47.193,28.661
-14.567,49.594,50.409,53.899,59.544,46.498,38.487,39.229,38.625,27.143,76.827,28.990,30.626,45.570,44.217,65.295,60.450,36.737,32.382,34.825,39.211,42.225,41.496,45.269,44.841,42.004,43.848,45.550,45.875,60.582,63.373,72.822,93.246,88.978,80.332,87.308,53.751,62.537,52.556,49.927,50.110,50.532,51.550,37.556,36.748,35.274,38.726,44.293,42.597,36.961,50.149,57.628,28.714,37.446,5.221,33.364,19.924,48.556,31.831,,46.549,47.084,46.348,49.835,49.244,52.737,,,,,,,,,,95.025,,,75.116,52.682,50.906,47.934,55.168,37.447,47.077,38.628,34.953,35.158,34.946,39.280,34.082,40.408,37.079,61.088,8.355,2.073,1.918,12.765,13.509,52.750,51.774,52.062,50.664,50.620,46.767,46.292,48.684,48.035,73.670,51.736,47.590,42.535,84.945,82.200,44.340,46.799,28.718
-14.550,49.717,50.434,54.174,59.295,48.287,40.657,39.937,38.675,23.431,81.498,23.511,27.312,39.454,39.203,66.165,75.041,41.716,35.996,42.186,40.791,44.491,43.498,47.707,48.450,45.671,47.097,50.512,49.432,60.665,63.699,72.959,93.782,89.924,80.381,88.499,54.598,62.686,52.778,49.858,48.998,51.133,51.942,38.189,37.160,36.705,39.830,40.819,38.957,37.075,45.185,53.982,28.935,38.014,6.770,35.867,22.811,48.619,33.604,,51.741,51.342,51.340,55.734,54.204,55.914,,,,,,,,,,95.426,,,76.256,53.464,49.772,47.627,55.208,38.343,48.135,39.641,37.338,37.377,36.427,39.566,36.220,41.602,38.929,56.160,9.165,3.087,3.786,13.303,18.281,57.886,57.374,56.716,53.703,55.036,50.870,48.887,51.786,51.456,74.060,52.113,47.069,42.609,84.770,82.844,44.409,47.071,28.838
-14.533,52.501,50.384,54.665,59.837,49.009,41.224,41.559,40.461,19.680,84.404,18.342,26.112,36.862,35.484,66.407,71.887,47.114,40.427,44.685,45.090,49.983,45.185,48.056,48.797,46.802,47.319,49.972,50.293,61.147,64.063,73.505,92.897,91.557,80.041,88.626,54.614,63.204,52.045,50.095,47.592,51.501,51.259,39.791,37.946,38.623,41.695,36.665,35.767,36.480,42.715,48.779,32.148,40.654,9.818,40.256,27.906,51.569,37.693,,51.004,51.124,50.956,55.655,53.846,57.423,,,,,,,,,,95.526,,,75.804,51.706,49.860,49.334,55.584,39.476,50.045,42.386,38.913,40.542,39.260,42.751,39.259,44.653,40.967,50.122,12.093,4.372,6.097,15.295,24.774,59.073,57.688,56.489,54.741,55.632,52.216,48.359,51.858,51.935,74.078,52.061,47.471,42.546,83.583,82.692,44.586,47.185,28.710
-14.517,50.987,50.174,54.478,59.424,41.897,33.985,36.507,36.253,22.513,82.664,19.979,25.989,37.310,36.895,65.672,62.932,37.516,32.642,35.648,38.341,41.692,45.960,48.134,48.635,47.187,49.567,50.674,51.639,61.115,63.723,73.504,94.754,90.551,80.483,88.529,54.836,63.055,52.343,49.779,47.935,50.609,52.254,36.133,34.765,34.885,35.953,38.837,37.092,37.278,43.380,47.688,26.419,35.402,4.534,33.972,20.048,46.717,31.181,,52.372,53.050,52.200,56.421,54.958,57.576,,,,,,,,,,95.080,,,76.147,52.761,49.567,48.221,55.578,36.734,46.497,36.438,35.153,34.851,34.754,36.096,34.442,41.340,35.725,50.479,6.298,1.084,1.612,10.776,14.407,58.373,57.522,57.962,54.279,55.081,52.737,49.229,50.987,51.262,74.572,51.857,47.111,42.637,83.856,80.841,44.506,46.852,28.625
-14.500,53.865,50.430,54.701,59.983,42.061,35.405,44.765,45.811,24.740,77.248,25.572,31.785,42.800,42.103,65.891,65.398,42.399,35.916,37.695,40.034,43.978,47.603,49.969,50.309,50.008,51.728,53.697,52.915,60.861,63.716,73.188,93.328,90.943,80.889,87.131,54.786,62.569,53.401,49.062,47.900,50.685,52.177,46.011,44.997,45.704,47.356,43.020,43.068,41.114,48.545,53.792,28.704,37.635,6.818,35.819,22.300,47.333,33.776,,54.163,53.964,54.325,57.375,56.720,58.645,,,,,,,,,,95.959,,99.873,75.680,53.804,47.233,46.437,56.063,48.113,55.269,48.436,46.477,46.018,48.204,47.897,46.292,51.453,48.403,57.414,7.927,2.793,3.271,12.367,17.156,58.616,59.633,59.318,55.362,56.465,52.971,48.657,51.569,52.159,74.271,51.876,47.356,42.506,85.192,81.985,44.506,46.632,28.717
